mH(GeV)	CrossSection(pb)	+QCDScale%	-QCDScale%	(PDF+as)%	+full%	-full%
2450.	0.000017663948	0.9	-2.1	4.4	4.491102314577124	-4.8754486972995625
2500.	0.000015868640000000002	1.	-2.1	4.5	4.6097722286464435	-4.965883607174055
2550.	0.000014268328000000002	1.	-2.2	4.6	4.707440918375927	-5.0990195135927845
2600.	0.000012829392	1.	-2.2	4.7	4.805205510693586	-5.189412298131649
2650.	0.000011545108	1.	-2.3	4.8	4.903060268852505	-5.322593352868505
2700.	0.00001038858	1.1	-2.3	4.9	5.021951811795889	-5.412947441089743
2750.	9.353084e-6	1.1	-2.4	5.	5.119570294468081	-5.546169849544818
2800.	8.418448e-6	1.1	-2.4	5.1	5.217278984298233	-5.63648826841678
2850.	7.5846720000000005e-6	1.1	-2.5	5.3	5.412947441089743	-5.860034129593445
2900.	6.8315839999999995e-6	1.2	-2.5	5.4	5.531726674375733	-5.950630218724736
2950.	6.1564944e-6	1.2	-2.6	5.5	5.629387178015028	-6.0835844697020525
3000.	5.549317199999999e-6	1.2	-2.7	5.7	5.82494635168428	-6.307138812488591
